-2.0084,-1.3891,0.48679,2.2574,0.42324,3.986,4.4494,0.0058467
1.6614,0.013174,0.0096685,0.93775,-2.7766,0.15167,-1.4163,0.00019952
4.8912,-0.11137,0.035346,10.281,1.7556,-3.9195,-3.5962,-0.00030426
-3.9834,-0.070451,0.42794,5.4363,-3.3796,-0.018893,-4.5544,-0.00058739
-2.0509,0.091651,0.025119,-3.5279,3.7234,2.9621,-0.63993,2.7116
0.021047,-0.00034709,0.00039416,0.010969,1.0737,0.043852,0.060023,-1.7703e-06
1.6834,-0.20102,2.3763,2.992,13.221,-0.99747,-2.8601,-0.11148
2.6751,0.01348,0.01357,-1.2354,0.54926,1.2379,-0.80397,-0.00025949
6.069,-0.0028379,0.0070263,0.52028,-11.168,-4.4357,1.5244,1.1075e-05
10.578,0.061369,-0.061778,-5.3915,1.5701,-2.122,1.5742,0.95668
